id,step,entry,delta
767,step-build,packaging tools],30.3944
768,step-build,Python 3.12.1 ,30.3945
769,step-build,setuptools 68.0.0 and wheel 0.42.0,32.846
770,step-build,,36.2687
771,step-build,Pip],36.2687
772,step-build,pip install ,36.27
773,step-build,-r requirements.txt (line 1)),36.6776
774,step-build,flask-3.0.0-py3-none-any.whl.metadata (3.6 kB),36.7377
775,step-build,-r requirements.txt (line 2)),36.7894
776,step-build,werkzeug-3.0.1-py3-none-any.whl.metadata (4.1 kB),36.7927
777,step-build,-r requirements.txt (line 3)),36.8298
778,step-build,uwsgi-2.0.23.tar.gz (810 kB),36.8342
779,step-build,metadata (setup.py): started,37.0097
780,step-build,metadata (setup.py): finished with status 'done',37.1609
781,step-build,flask->-r requirements.txt (line 1)),37.2372
782,step-build,Jinja2-3.1.3-py3-none-any.whl.metadata (3.3 kB),37.242
783,step-build,flask->-r requirements.txt (line 1)),37.2709
784,step-build,itsdangerous-2.1.2-py3-none-any.whl (15 kB),37.275
785,step-build,flask->-r requirements.txt (line 1)),37.3122
786,step-build,click-8.1.7-py3-none-any.whl.metadata (3.0 kB),37.3158
787,step-build,flask->-r requirements.txt (line 1)),37.3658
788,step-build,blinker-1.7.0-py3-none-any.whl.metadata (1.9 kB),37.3703
789,step-build,werkzeug->-r requirements.txt (line 2)),37.4432
790,step-build,MarkupSafe-2.1.3-cp312-cp312-manylinux_2_17_x86_64.manylinux2014_x86_64.whl.metadata (2.9 kB),37.4465
791,step-build,kB),37.4674
792,step-build,kB),37.4893
793,step-build,kB),37.5143
794,step-build,kB),37.5315
795,step-build,kB),37.5465
796,step-build,kB),37.561
797,step-build,collected packages: uwsgi,37.5795
798,step-build,wheel for uwsgi (setup.py): started,37.5808
799,step-build,wheel for uwsgi (setup.py): finished with status 'done',45.7953
800,step-build,wheel for uwsgi: filename=uWSGI-2.0.23-cp312-cp312-linux_x86_64.whl size=600386 sha256=ed604283fc12729b9f3014335f66077b09500e52118a7a6a401d6bdb1c067818,45.7991
801,step-build,in directory: /layers/heroku_python/pip-cache/wheels/1b/ec/ca/e5d59412ae7776eb3d5ab026e9883e7bf8e2684f3f1bf8a09d,45.7996
802,step-build,built uwsgi ,45.8016
803,step-build,"uwsgi, MarkupSafe, itsdangerous, click, blinker, werkzeug, Jinja2, flask",45.8455
804,step-build,MarkupSafe-2.1.3 blinker-1.7.0 click-8.1.7 flask-3.0.0 itsdangerous-2.1.2 uwsgi-2.0.23 werkzeug-3.0.1,46.2364
805,step-build,,46.3185
806,step-build,process types] ,46.3186
807,step-build,-> web,46.3201
808,step-fix-permissions,on '/layers'...,46.4886
809,step-fix-permissions,on '/workspace'...,46.7509
810,step-export,image '172.19.0.1/tool-tf-test/tool-tf-test@sha256:1767bd9da090b1a89136622efe33edd4610cb8ab0d06602d81fbf3e0cb9ab0c0',47.4283
811,step-export,layer 'heroku/python:dependencies' ,49.3118
812,step-export,layer 'heroku/python:python' ,49.6566
813,step-export,layer 'buildpacksio/lifecycle:launch.sbom' ,49.659
814,step-export,layer(s),49.6665
815,step-export,layer 'buildpacksio/lifecycle:launcher' ,49.6728
816,step-export,layer 'buildpacksio/lifecycle:config' ,49.6757
817,step-export,layer 'buildpacksio/lifecycle:process-types' ,49.6769
818,step-export,label 'io.buildpacks.lifecycle.metadata' ,49.6804
819,step-export,label 'io.buildpacks.build.metadata' ,49.6818
820,step-export,label 'io.buildpacks.project.metadata' ,49.6818
821,step-export,type 'web',49.6827
822,step-export,172.19.0.1/tool-tf-test/tool-tf-test:latest... ,49.683
823,step-export,Images (sha256:3ab41a40d7f3a5136dd6bd160189c127162ad95d47949dcb9290633621609190): ,49.9058
824,step-export,172.19.0.1/tool-tf-test/tool-tf-test:latest,49.9059
825,step-export,'heroku/python:pip-cache',49.9202
826,step-export,'heroku/python:python',49.9223
827,step-results,image 172.19.0.1/tool-tf-test/tool-tf-test:latest@sha256:3ab41a40d7f3a5136dd6bd160189c127162ad95d47949dcb9290633621609190,50.5342
