id,step,entry,delta
223,step-inject-buildpacks,tmpdir=/tmp/tmp.pjiLKE ,18.2617
224,step-inject-buildpacks,cd /tmp/tmp.pjiLKE ,18.2617
225,step-inject-buildpacks,wget https://gitlab.wikimedia.org/repos/cloud/toolforge/buildpacks/rust-buildpack/-/archive/move_to_api_0.10/rust-buildpack-move_to_api_0.10.zip ,18.2617
226,step-inject-buildpacks,(208.80.153.8:443),18.4233
227,step-inject-buildpacks,to 'rust-buildpack-move_to_api_0.10.zip' ,19.1709
228,step-inject-buildpacks,6408  0:00:00 ETA,19.1723
229,step-inject-buildpacks,saved ,19.173
230,step-inject-buildpacks,rust-buildpack-move_to_api_0.10.zip,19.1805
231,step-inject-buildpacks, rust-buildpack-move_to_api_0.10.zip ,19.1854
232,step-inject-buildpacks,creating: rust-buildpack-move_to_api_0.10/,19.1918
233,step-inject-buildpacks,rust-buildpack-move_to_api_0.10/.gitignore,19.1918
234,step-inject-buildpacks,rust-buildpack-move_to_api_0.10/README.md,19.1919
235,step-inject-buildpacks,creating: rust-buildpack-move_to_api_0.10/bin/,19.1919
236,step-inject-buildpacks,rust-buildpack-move_to_api_0.10/bin/build,19.1919
237,step-inject-buildpacks,rust-buildpack-move_to_api_0.10/bin/detect,19.1919
238,step-inject-buildpacks,rust-buildpack-move_to_api_0.10/bin/exports,19.1919
239,step-inject-buildpacks,rust-buildpack-move_to_api_0.10/buildpack.toml,19.1919
240,step-inject-buildpacks,rust-buildpack-move_to_api_0.10/package.toml,19.1919
241,step-inject-buildpacks,creating: rust-buildpack-move_to_api_0.10/target/,19.1919
242,step-inject-buildpacks,creating: rust-buildpack-move_to_api_0.10/target/bin/,19.192
243,step-inject-buildpacks,rust-buildpack-move_to_api_0.10/target/bin/compile,19.192
244,step-inject-buildpacks,rust-buildpack-move_to_api_0.10/target/bin/detect,19.192
245,step-inject-buildpacks,/tmp_builder/buildpacks/emk_rust/0.1//,19.1943
246,step-inject-buildpacks,-- rust-buildpack-move_to_api_0.10/README.md rust-buildpack-move_to_api_0.10/bin rust-buildpack-move_to_api_0.10/buildpack.toml rust-buildpack-move_to_api_0.10/package.toml rust-buildpack-move_to_api_0.10/target /tmp_builder/buildpacks/emk_rust/0.1//,19.1982
247,step-inject-buildpacks,,19.2024
248,step-inject-buildpacks,cd - ,19.2024
249,step-inject-buildpacks,/tmp/tmp.pjiLKE,19.2026
250,step-inject-buildpacks,local procfile_version ,19.2071
251,step-inject-buildpacks,ls /tmp_builder/buildpacks/heroku_procfile ,19.2092
252,step-inject-buildpacks,procfile_version=2.0.2 ,19.2111
253,step-inject-buildpacks,add_new_group /tmp_builder/order.toml ,19.2112
254,step-inject-buildpacks,local toml_file=/tmp_builder/order.toml ,19.2112
255,step-inject-buildpacks,local tmpdir ,19.2112
256,step-inject-buildpacks,mktemp -d ,19.2209
257,step-inject-buildpacks,tmpdir=/tmp/tmp.BdOJKi ,19.2209
258,step-inject-buildpacks,local tmp_toml=/tmp/tmp.BdOJKi/tmp.toml ,19.2209
259,step-inject-buildpacks,cat ,19.2209
260,step-inject-buildpacks,cat /tmp_builder/order.toml ,19.2209
261,step-inject-buildpacks,/tmp_builder/order.toml,19.2209
262,step-inject-buildpacks,/tmp_builder/order.toml,19.2209
263,step-inject-buildpacks,/tmp/tmp.BdOJKi,19.2209
264,step-inject-buildpacks,/tmp_builder/order.toml,19.2219
265,step-inject-buildpacks,local buildpacks_dir=/tmp_builder/buildpacks ,19.2219
266,step-inject-buildpacks,local order_toml=/tmp_builder/order.toml ,19.2219
267,step-inject-buildpacks,/tmp_builder/buildpacks/heroku_clojure/0.1/,19.2219
268,step-inject-buildpacks,local url=https://gitlab.wikimedia.org/repos/cloud/toolforge/buildpacks/clojure-buildpack/-/archive/move_to_api_0.10/clojure-buildpack-move_to_api_0.10.zip ,19.2219
269,step-inject-buildpacks,local dest_dir=/tmp_builder/buildpacks/heroku_clojure/0.1/ ,19.222
270,step-inject-buildpacks,local tmpdir ,19.222
271,step-inject-buildpacks,mktemp -d ,19.2238
272,step-inject-buildpacks,tmpdir=/tmp/tmp.InpEgm ,19.2242
273,step-inject-buildpacks,cd /tmp/tmp.InpEgm ,19.2242
274,step-inject-buildpacks,wget https://gitlab.wikimedia.org/repos/cloud/toolforge/buildpacks/clojure-buildpack/-/archive/move_to_api_0.10/clojure-buildpack-move_to_api_0.10.zip ,19.2242
275,step-inject-buildpacks,(208.80.153.8:443),19.2268
276,step-inject-buildpacks,to 'clojure-buildpack-move_to_api_0.10.zip' ,19.9422
277,step-inject-buildpacks,|*************************       | 1430k  0:00:00 ETA,20.9367
278,step-inject-buildpacks,1791k  0:00:00 ETA,20.9511
279,step-inject-buildpacks,saved ,20.9511
280,step-inject-buildpacks,clojure-buildpack-move_to_api_0.10.zip,20.9539
281,step-inject-buildpacks, clojure-buildpack-move_to_api_0.10.zip ,20.9576
282,step-inject-buildpacks,creating: clojure-buildpack-move_to_api_0.10/,21.0177
283,step-inject-buildpacks,clojure-buildpack-move_to_api_0.10/.gitignore,21.0178
284,step-inject-buildpacks,creating: clojure-buildpack-move_to_api_0.10/bin/,21.0178
285,step-inject-buildpacks,clojure-buildpack-move_to_api_0.10/bin/build,21.0178
286,step-inject-buildpacks,clojure-buildpack-move_to_api_0.10/bin/detect,21.0178
287,step-inject-buildpacks,clojure-buildpack-move_to_api_0.10/bin/exports,21.0178
288,step-inject-buildpacks,clojure-buildpack-move_to_api_0.10/bin/release,21.0178
289,step-inject-buildpacks,clojure-buildpack-move_to_api_0.10/buildpack.toml,21.0178
290,step-inject-buildpacks,clojure-buildpack-move_to_api_0.10/package.toml,21.0178
291,step-inject-buildpacks,creating: clojure-buildpack-move_to_api_0.10/target/,21.0178
292,step-inject-buildpacks,clojure-buildpack-move_to_api_0.10/target/CHANGELOG.md,21.0178
293,step-inject-buildpacks,clojure-buildpack-move_to_api_0.10/target/LICENSE,21.0178
294,step-inject-buildpacks,clojure-buildpack-move_to_api_0.10/target/README.md,21.0178
295,step-inject-buildpacks,creating: clojure-buildpack-move_to_api_0.10/target/bin/,21.0178
296,step-inject-buildpacks,clojure-buildpack-move_to_api_0.10/target/bin/compile,21.0178
297,step-inject-buildpacks,clojure-buildpack-move_to_api_0.10/target/bin/detect,21.0178
298,step-inject-buildpacks,clojure-buildpack-move_to_api_0.10/target/bin/release,21.0189
299,step-inject-buildpacks,clojure-buildpack-move_to_api_0.10/target/bin/test,21.019
300,step-inject-buildpacks,clojure-buildpack-move_to_api_0.10/target/bin/test-compile,21.019
301,step-inject-buildpacks,clojure-buildpack-move_to_api_0.10/target/buildpack.toml,21.019
302,step-inject-buildpacks,creating: clojure-buildpack-move_to_api_0.10/target/lib/,21.019
303,step-inject-buildpacks,clojure-buildpack-move_to_api_0.10/target/lib/buildpack-stdlib-v7.sh,21.019
304,step-inject-buildpacks,clojure-buildpack-move_to_api_0.10/target/lib/common.sh,21.019
305,step-inject-buildpacks,clojure-buildpack-move_to_api_0.10/target/lib/lein.sh,21.019
306,step-inject-buildpacks,creating: clojure-buildpack-move_to_api_0.10/target/opt/,21.019
307,step-inject-buildpacks,clojure-buildpack-move_to_api_0.10/target/opt/lein1,21.019
308,step-inject-buildpacks,clojure-buildpack-move_to_api_0.10/target/opt/lein2,21.019
309,step-inject-buildpacks,clojure-buildpack-move_to_api_0.10/target/opt/profiles.clj,21.019
310,step-inject-buildpacks,/tmp_builder/buildpacks/heroku_clojure/0.1//,21.0196
311,step-inject-buildpacks,-- clojure-buildpack-move_to_api_0.10/bin clojure-buildpack-move_to_api_0.10/buildpack.toml clojure-buildpack-move_to_api_0.10/package.toml clojure-buildpack-move_to_api_0.10/target /tmp_builder/buildpacks/heroku_clojure/0.1//,21.0208
312,step-inject-buildpacks,,21.0253
313,step-inject-buildpacks,cd - ,21.0253
314,step-inject-buildpacks,/tmp/tmp.InpEgm,21.0253
315,step-inject-buildpacks,local procfile_version ,21.0275
316,step-inject-buildpacks,ls /tmp_builder/buildpacks/heroku_procfile ,21.028
317,step-inject-buildpacks,procfile_version=2.0.2 ,21.029
318,step-inject-buildpacks,add_new_group /tmp_builder/order.toml ,21.029
