id,step,timestamp,entry,delta
147,step-inject-buildpacks,2024-01-18T09:58:56.189985,dotnetcore-buildpack-move_to_api_0.10/target/lib/utils,18.2338
148,step-inject-buildpacks,2024-01-18T09:58:56.189989,creating: dotnetcore-buildpack-move_to_api_0.10/target/profile/,18.2338
149,step-inject-buildpacks,2024-01-18T09:58:56.190539,dotnetcore-buildpack-move_to_api_0.10/target/profile/aspnetcore-defaults.sh,18.2344
150,step-inject-buildpacks,2024-01-18T09:58:56.190561,creating: dotnetcore-buildpack-move_to_api_0.10/target/test/,18.2344
151,step-inject-buildpacks,2024-01-18T09:58:56.190564,creating: dotnetcore-buildpack-move_to_api_0.10/target/test/fixtures/,18.2344
152,step-inject-buildpacks,2024-01-18T09:58:56.190567,creating: dotnetcore-buildpack-move_to_api_0.10/target/test/fixtures/custom-procfile/,18.2344
153,step-inject-buildpacks,2024-01-18T09:58:56.190569,dotnetcore-buildpack-move_to_api_0.10/target/test/fixtures/custom-procfile/Procfile,18.2344
154,step-inject-buildpacks,2024-01-18T09:58:56.190571,dotnetcore-buildpack-move_to_api_0.10/target/test/fixtures/custom-procfile/Program.cs,18.2344
155,step-inject-buildpacks,2024-01-18T09:58:56.190573,dotnetcore-buildpack-move_to_api_0.10/target/test/fixtures/custom-procfile/Startup.cs,18.2344
156,step-inject-buildpacks,2024-01-18T09:58:56.190576,dotnetcore-buildpack-move_to_api_0.10/target/test/fixtures/custom-procfile/Web.csproj,18.2344
157,step-inject-buildpacks,2024-01-18T09:58:56.190578,creating: dotnetcore-buildpack-move_to_api_0.10/target/test/fixtures/dotnet-6.0/,18.2344
158,step-inject-buildpacks,2024-01-18T09:58:56.190580,dotnetcore-buildpack-move_to_api_0.10/target/test/fixtures/dotnet-6.0/Program.cs,18.2344
159,step-inject-buildpacks,2024-01-18T09:58:56.190582,dotnetcore-buildpack-move_to_api_0.10/target/test/fixtures/dotnet-6.0/Startup.cs,18.2344
160,step-inject-buildpacks,2024-01-18T09:58:56.190584,dotnetcore-buildpack-move_to_api_0.10/target/test/fixtures/dotnet-6.0/dotnet-6.0.csproj,18.2344
161,step-inject-buildpacks,2024-01-18T09:58:56.192999,creating: dotnetcore-buildpack-move_to_api_0.10/target/test/fixtures/dotnetcore-2.1/,18.2369
162,step-inject-buildpacks,2024-01-18T09:58:56.193012,dotnetcore-buildpack-move_to_api_0.10/target/test/fixtures/dotnetcore-2.1/Program.cs,18.2369
163,step-inject-buildpacks,2024-01-18T09:58:56.193015,dotnetcore-buildpack-move_to_api_0.10/target/test/fixtures/dotnetcore-2.1/Startup.cs,18.2369
164,step-inject-buildpacks,2024-01-18T09:58:56.193017,dotnetcore-buildpack-move_to_api_0.10/target/test/fixtures/dotnetcore-2.1/dotnetcore-2.1.csproj,18.2369
165,step-inject-buildpacks,2024-01-18T09:58:56.193020,creating: dotnetcore-buildpack-move_to_api_0.10/target/test/fixtures/dotnetcore-2.2/,18.2369
166,step-inject-buildpacks,2024-01-18T09:58:56.193029,dotnetcore-buildpack-move_to_api_0.10/target/test/fixtures/dotnetcore-2.2/Program.cs,18.2369
167,step-inject-buildpacks,2024-01-18T09:58:56.193031,dotnetcore-buildpack-move_to_api_0.10/target/test/fixtures/dotnetcore-2.2/Startup.cs,18.2369
168,step-inject-buildpacks,2024-01-18T09:58:56.193045,dotnetcore-buildpack-move_to_api_0.10/target/test/fixtures/dotnetcore-2.2/dotnetcore-2.2.csproj,18.2369
169,step-inject-buildpacks,2024-01-18T09:58:56.193047,creating: dotnetcore-buildpack-move_to_api_0.10/target/test/fixtures/dotnetcore-2/,18.2369
170,step-inject-buildpacks,2024-01-18T09:58:56.193050,dotnetcore-buildpack-move_to_api_0.10/target/test/fixtures/dotnetcore-2/Program.cs,18.2369
171,step-inject-buildpacks,2024-01-18T09:58:56.193052,dotnetcore-buildpack-move_to_api_0.10/target/test/fixtures/dotnetcore-2/Startup.cs,18.2369
172,step-inject-buildpacks,2024-01-18T09:58:56.194263,dotnetcore-buildpack-move_to_api_0.10/target/test/fixtures/dotnetcore-2/dotnetcore-2.csproj,18.2381
173,step-inject-buildpacks,2024-01-18T09:58:56.194273,creating: dotnetcore-buildpack-move_to_api_0.10/target/test/fixtures/dotnetcore-3.0/,18.2381
174,step-inject-buildpacks,2024-01-18T09:58:56.194276,dotnetcore-buildpack-move_to_api_0.10/target/test/fixtures/dotnetcore-3.0/Program.cs,18.2381
175,step-inject-buildpacks,2024-01-18T09:58:56.194278,dotnetcore-buildpack-move_to_api_0.10/target/test/fixtures/dotnetcore-3.0/Startup.cs,18.2381
176,step-inject-buildpacks,2024-01-18T09:58:56.194280,dotnetcore-buildpack-move_to_api_0.10/target/test/fixtures/dotnetcore-3.0/dotnetcore-3.0.csproj,18.2381
177,step-inject-buildpacks,2024-01-18T09:58:56.194282,creating: dotnetcore-buildpack-move_to_api_0.10/target/test/fixtures/dotnetcore-3.1/,18.2381
178,step-inject-buildpacks,2024-01-18T09:58:56.194285,dotnetcore-buildpack-move_to_api_0.10/target/test/fixtures/dotnetcore-3.1/Program.cs,18.2381
179,step-inject-buildpacks,2024-01-18T09:58:56.194288,dotnetcore-buildpack-move_to_api_0.10/target/test/fixtures/dotnetcore-3.1/Startup.cs,18.2381
180,step-inject-buildpacks,2024-01-18T09:58:56.194291,dotnetcore-buildpack-move_to_api_0.10/target/test/fixtures/dotnetcore-3.1/dotnetcore-3.1.csproj,18.2381
181,step-inject-buildpacks,2024-01-18T09:58:56.194293,creating: dotnetcore-buildpack-move_to_api_0.10/target/test/fixtures/dotnetcore-5.0/,18.2381
182,step-inject-buildpacks,2024-01-18T09:58:56.194295,dotnetcore-buildpack-move_to_api_0.10/target/test/fixtures/dotnetcore-5.0/Program.cs,18.2381
183,step-inject-buildpacks,2024-01-18T09:58:56.196270,dotnetcore-buildpack-move_to_api_0.10/target/test/fixtures/dotnetcore-5.0/Startup.cs,18.2401
184,step-inject-buildpacks,2024-01-18T09:58:56.196282,dotnetcore-buildpack-move_to_api_0.10/target/test/fixtures/dotnetcore-5.0/dotnetcore-5.0.csproj,18.2401
185,step-inject-buildpacks,2024-01-18T09:58:56.196285,creating: dotnetcore-buildpack-move_to_api_0.10/target/test/fixtures/fsharp-dotnetcore-3.0/,18.2401
186,step-inject-buildpacks,2024-01-18T09:58:56.196288,dotnetcore-buildpack-move_to_api_0.10/target/test/fixtures/fsharp-dotnetcore-3.0/Program.fs,18.2401
187,step-inject-buildpacks,2024-01-18T09:58:56.196290,dotnetcore-buildpack-move_to_api_0.10/target/test/fixtures/fsharp-dotnetcore-3.0/dotnetcore-3.0.fsproj,18.2401
188,step-inject-buildpacks,2024-01-18T09:58:56.196295,creating: dotnetcore-buildpack-move_to_api_0.10/target/test/fixtures/local-tools/,18.2401
189,step-inject-buildpacks,2024-01-18T09:58:56.196298,dotnetcore-buildpack-move_to_api_0.10/target/test/fixtures/local-tools/Program.cs,18.2402
190,step-inject-buildpacks,2024-01-18T09:58:56.196324,/tmp_builder/buildpacks/jincod_dotnetcore-buildpack/7.0.401//,18.2402
191,step-inject-buildpacks,2024-01-18T09:58:56.196344,dotnetcore-buildpack-move_to_api_0.10/target/test/fixtures/local-tools/Startup.cs,18.2402
192,step-inject-buildpacks,2024-01-18T09:58:56.196353,dotnetcore-buildpack-move_to_api_0.10/target/test/fixtures/local-tools/dotnet-tools.json,18.2402
193,step-inject-buildpacks,2024-01-18T09:58:56.196358,dotnetcore-buildpack-move_to_api_0.10/target/test/fixtures/local-tools/local-tools.csproj,18.2402
194,step-inject-buildpacks,2024-01-18T09:58:56.196361,dotnetcore-buildpack-move_to_api_0.10/target/test/run,18.2402
195,step-inject-buildpacks,2024-01-18T09:58:56.196365,dotnetcore-buildpack-move_to_api_0.10/target/test/shunit2,18.2402
196,step-inject-buildpacks,2024-01-18T09:58:56.196369,dotnetcore-buildpack-move_to_api_0.10/target/test/utils,18.2402
197,step-inject-buildpacks,2024-01-18T09:58:56.197829,-- dotnetcore-buildpack-move_to_api_0.10/bin dotnetcore-buildpack-move_to_api_0.10/buildpack.toml dotnetcore-buildpack-move_to_api_0.10/package.toml dotnetcore-buildpack-move_to_api_0.10/target /tmp_builder/buildpacks/jincod_dotnetcore-buildpack/7.0.401//,18.2417
198,step-inject-buildpacks,2024-01-18T09:58:56.205312,cd - ,18.2492
199,step-inject-buildpacks,2024-01-18T09:58:56.205312,,18.2492
200,step-inject-buildpacks,2024-01-18T09:58:56.205353,/tmp/tmp.pJBfIB,18.2492
201,step-inject-buildpacks,2024-01-18T09:58:56.208524,local procfile_version ,18.2524
202,step-inject-buildpacks,2024-01-18T09:58:56.208701,ls /tmp_builder/buildpacks/heroku_procfile ,18.2526
203,step-inject-buildpacks,2024-01-18T09:58:56.209577,procfile_version=2.0.2 ,18.2534
