id,step,timestamp,entry,delta
221,step-inject-buildpacks,2024-01-18T09:00:09.819058,mktemp -d ,0.0004
222,step-inject-buildpacks,2024-01-18T09:00:09.819712,tmpdir=/tmp/tmp.NmNfea ,0.0007
223,step-inject-buildpacks,2024-01-18T09:00:09.819726,cd /tmp/tmp.NmNfea ,0.0000
224,step-inject-buildpacks,2024-01-18T09:00:09.819852,wget https://gitlab.wikimedia.org/repos/cloud/toolforge/buildpacks/rust-buildpack/-/archive/move_to_api_0.10/rust-buildpack-move_to_api_0.10.zip ,0.0001
225,step-inject-buildpacks,2024-01-18T09:00:10.822699,(208.80.153.8:443),1.0028
226,step-inject-buildpacks,2024-01-18T09:00:11.411021,to 'rust-buildpack-move_to_api_0.10.zip' ,0.5883
227,step-inject-buildpacks,2024-01-18T09:00:11.412032,6408  0:00:00 ETA,0.0010
228,step-inject-buildpacks,2024-01-18T09:00:11.412047,saved ,0.0000
229,step-inject-buildpacks,2024-01-18T09:00:11.412300,rust-buildpack-move_to_api_0.10.zip,0.0003
230,step-inject-buildpacks,2024-01-18T09:00:11.413102, rust-buildpack-move_to_api_0.10.zip ,0.0008
231,step-inject-buildpacks,2024-01-18T09:00:11.414204,creating: rust-buildpack-move_to_api_0.10/,0.0011
